GeneSym,source_desc,protein,cell,Tissue,target_id,weight
LIMS2,na,55679,HT29,large intestine,-666,1
CREB3L1,na,90993,HT29,large intestine,-666,1
RHBDF1,na,64285,HT29,large intestine,-666,1
HMGA1,na,3159,HT29,large intestine,-666,1
PAQR5,na,54852,HT29,large intestine,-666,1
DGKH,na,160851,HT29,large intestine,-666,1
PYGB,na,5834,HT29,large intestine,-666,1
HRAS,na,3265,HT29,large intestine,-666,1
CLN6,na,54982,HT29,large intestine,-666,1
ACAD9,na,28976,HT29,large intestine,-666,1
BCAP31,na,10134,HT29,large intestine,-666,1
IRAK1,na,3654,HT29,large intestine,-666,1
PVRL2,na,5819,HT29,large intestine,-666,1
ZNF579,na,163033,HT29,large intestine,-666,1
ETFB,na,2109,HT29,large intestine,-666,1
UTF1,na,8433,HT29,large intestine,-666,1
HOXA11,na,3207,HT29,large intestine,-666,1
HOXA10,na,3206,HT29,large intestine,-666,1
HOXB8,na,3218,HT29,large intestine,-666,1
HOXB9,na,3219,HT29,large intestine,-666,1
AKT2,na,208,HT29,large intestine,-666,1
TBC1D17,na,79735,HT29,large intestine,-666,1
CA9,na,768,HT29,large intestine,-666,1
SLC23A3,na,151295,HT29,large intestine,-666,1
PHB,na,5245,HT29,large intestine,-666,1
ZNHIT3,na,9326,HT29,large intestine,-666,1
MYO19,na,80179,HT29,large intestine,-666,1
KRT72,na,140807,HT29,large intestine,-666,1
PSMB3,na,5691,HT29,large intestine,-666,1
CISD3,na,284106,HT29,large intestine,-666,1
MLLT6,na,4302,HT29,large intestine,-666,1
MRPL45,na,84311,HT29,large intestine,-666,1
STARD10,na,10809,HT29,large intestine,-666,1
CRACR2B,na,283229,HT29,large intestine,-666,1
ARFIP2,na,23647,HT29,large intestine,-666,1
C4orf19,na,55286,HT29,large intestine,-666,1
ATP6V1B1,na,525,HT29,large intestine,-666,1
NAPRT,na,93100,HT29,large intestine,-666,1
HOTAIR,na,100124700,HT29,large intestine,-666,1
RALY,na,22913,HT29,large intestine,-666,1
POLR1D,na,51082,HT29,large intestine,-666,1
MTIF3,na,219402,HT29,large intestine,-666,1
MICU2,na,221154,HT29,large intestine,-666,1
RNF6,na,6049,HT29,large intestine,-666,1
POMP,na,51371,HT29,large intestine,-666,1
UCHL3,na,7347,HT29,large intestine,-666,1
TFDP1,na,7027,HT29,large intestine,-666,1
PGAP2,na,27315,HT29,large intestine,-666,1
SIGIRR,na,59307,HT29,large intestine,-666,1
NOX1,na,27035,HT29,large intestine,-666,1
ADAP1,na,11033,HT29,large intestine,-666,1
POF1B,na,79983,HT29,large intestine,-666,1
GPD1,na,2819,HT29,large intestine,-666,1
MOGAT3,na,346606,HT29,large intestine,-666,1
IL22RA1,na,58985,HT29,large intestine,-666,1
GUCA2A,na,2980,HT29,large intestine,-666,1
ARHGAP32,na,9743,HT29,large intestine,-666,1
LNX2,na,222484,HT29,large intestine,-666,1
RAB20,na,55647,HT29,large intestine,-666,1
SLC12A2,na,6558,HT29,large intestine,-666,1
RSPH1,na,89765,HT29,large intestine,-666,1
GLB1L2,na,89944,HT29,large intestine,-666,1
CFTR,na,1080,HT29,large intestine,-666,1
FAM213B,na,127281,HT29,large intestine,-666,1
TMEM54,na,113452,HT29,large intestine,-666,1
GIPC2,na,54810,HT29,large intestine,-666,1
GMDS,na,2762,HT29,large intestine,-666,1
AIFM3,na,150209,HT29,large intestine,-666,1
MYH14,na,79784,HT29,large intestine,-666,1
GPX2,na,2877,HT29,large intestine,-666,1
TRIM31,na,11074,HT29,large intestine,-666,1
GCNT3,na,9245,HT29,large intestine,-666,1
LYZ,na,4069,HT29,large intestine,-666,1
LRP5,na,4041,HT29,large intestine,-666,1
ATP2C2,na,9914,HT29,large intestine,-666,1
SEMA4G,na,57715,HT29,large intestine,-666,1
NR1H3,na,10062,HT29,large intestine,-666,1
CYP3A5,na,1577,HT29,large intestine,-666,1
KRT20,na,54474,HT29,large intestine,-666,1
CLCN2,na,1181,HT29,large intestine,-666,1
NOXO1,na,124056,HT29,large intestine,-666,1
ATOH1,na,474,HT29,large intestine,-666,1
SFT2D3,na,84826,HT29,large intestine,-666,1
MUC12,na,10071,HT29,large intestine,-666,1
KIF9,na,64147,HT29,large intestine,-666,1
AQP5,na,362,HT29,large intestine,-666,1
SPINK1,na,6690,HT29,large intestine,-666,1
FA2H,na,79152,HT29,large intestine,-666,1
TIRAP,na,114609,HT29,large intestine,-666,1
EPS8L1,na,54869,HT29,large intestine,-666,1
SULT2B1,na,6820,HT29,large intestine,-666,1
BMP4,na,652,HT29,large intestine,-666,1
KLC4,na,89953,HT29,large intestine,-666,1
PDDC1,na,347862,HT29,large intestine,-666,1
FAM160A2,na,84067,HT29,large intestine,-666,1
MUC5AC,na,4586,HT29,large intestine,-666,1
NTSR1,na,4923,HT29,large intestine,-666,1
ARHGEF16,na,27237,HT29,large intestine,-666,1
TPPP,na,11076,HT29,large intestine,-666,1
C11orf53,na,341032,HT29,large intestine,-666,1
HSDL2,na,84263,HT29,large intestine,-666,1
SERPINA1,na,5265,HT29,large intestine,-666,1
APOH,na,350,HT29,large intestine,-666,1
F5,na,2153,HT29,large intestine,-666,1
MYOM3,na,127294,HT29,large intestine,-666,1
TPPP3,na,51673,HT29,large intestine,-666,1
REN,na,5972,HT29,large intestine,-666,1
MMRN2,na,79812,HT29,large intestine,-666,1
SNCG,na,6623,HT29,large intestine,-666,1
PNPLA2,na,57104,HT29,large intestine,-666,1
PPDPF,na,79144,HT29,large intestine,-666,1
KDELR1,na,10945,HT29,large intestine,-666,1
SRC,na,6714,HT29,large intestine,-666,1
AKT1S1,na,84335,HT29,large intestine,-666,1
CHMP4B,na,128866,HT29,large intestine,-666,1
ARHGAP23,na,57636,HT29,large intestine,-666,1
ZNF524,na,147807,HT29,large intestine,-666,1
EPHB4,na,2050,HT29,large intestine,-666,1
PPP1R37,na,284352,HT29,large intestine,-666,1
SLC7A1,na,6541,HT29,large intestine,-666,1
BLOC1S3,na,388552,HT29,large intestine,-666,1
IRF3,na,3661,HT29,large intestine,-666,1
SLC35A2,na,7355,HT29,large intestine,-666,1
AGRN,na,375790,HT29,large intestine,-666,1
APRT,na,353,HT29,large intestine,-666,1
ABCA2,na,20,HT29,large intestine,-666,1
NUDT22,na,84304,HT29,large intestine,-666,1
RASSF7,na,8045,HT29,large intestine,-666,1
SLC41A3,na,54946,HT29,large intestine,-666,1
C11orf70,na,85016,HT29,large intestine,-666,1
RPS11,na,6205,HT29,large intestine,-666,1
RPL28,na,6158,HT29,large intestine,-666,1
EIF1AX,na,1964,HT29,large intestine,-666,1
ESAM,na,90952,HT29,large intestine,-666,1
CARD9,na,64170,HT29,large intestine,-666,1
MFSD10,na,10227,HT29,large intestine,-666,1
NLE1,na,54475,HT29,large intestine,-666,1
SLC17A9,na,63910,HT29,large intestine,-666,1
UBXN1,na,51035,HT29,large intestine,-666,1
UPF2,na,26019,HT29,large intestine,-666,1
GCC2,na,9648,HT29,large intestine,-666,1
ARHGEF1,na,9138,HT29,large intestine,-666,1
TANK,na,10010,HT29,large intestine,-666,1
UNC45B,na,146862,HT29,large intestine,-666,1
IL1RL2,na,8808,HT29,large intestine,-666,1
LIME1,na,54923,HT29,large intestine,-666,1
TRIB1,na,10221,HT29,large intestine,-666,1
TRPT1,na,83707,HT29,large intestine,-666,1
SLC1A5,na,6510,HT29,large intestine,-666,1
KIAA2018,na,205717,HT29,large intestine,-666,1
PANX3,na,116337,HT29,large intestine,-666,1
NMUR2,na,56923,HT29,large intestine,-666,1
ANKRD53,na,79998,HT29,large intestine,-666,1
ZNF645,na,158506,HT29,large intestine,-666,1
EFNA2,na,1943,HT29,large intestine,-666,1
KCNV2,na,169522,HT29,large intestine,-666,1
CTNNA3,na,29119,HT29,large intestine,-666,1
TMUB1,na,83590,HT29,large intestine,-666,1
