drug,protein
DB01110,4843
DB01234,4843
DB08814,4843
DB00661,8911
DB00909,8911
DB04841,8911
DB00201,134
DB00277,134
DB00640,134
DB00651,134
DB00996,134
DB01223,134
DB01412,134
DB00619,25
DB01254,25
DB04868,25
DB00244,5742
DB00316,5742
DB00328,5742
DB00350,5742
DB00461,5742
DB00465,5742
DB00469,5742
DB00500,5742
DB00554,5742
DB00586,5742
DB00605,5742
DB00712,5742
DB00749,5742
DB00784,5742
DB00788,5742
DB00795,5742
DB00812,5742
DB00814,5742
DB00821,5742
DB00870,5742
DB00945,5742
DB00963,5742
DB00991,5742
DB01009,5742
DB01014,5742
DB01050,5742
DB01283,5742
DB01399,5742
DB01435,5742
DB02266,5742
DB02709,5742
DB04552,5742
DB06725,5742
DB06802,5742
DB08814,5742
DB00246,1812
DB00268,1812
DB00334,1812
DB00363,1812
DB00408,1812
DB00413,1812
DB00477,1812
DB00502,1812
DB00543,1812
DB00623,1812
DB00679,1812
DB00734,1812
DB00800,1812
DB00988,1812
DB01186,1812
DB01224,1812
DB01235,1812
DB01238,1812
DB01239,1812
DB01099,7298
DB00398,2324
DB01268,2324
DB00384,6338
DB00594,6338
DB01229,81027
DB01248,81027
DB01394,81027
DB03010,81027
DB06772,81027
DB01268,2321
DB00398,5894
DB00165,8566
DB00559,1910
DB06268,1910
DB00246,1131
DB00321,1131
DB00332,1131
DB00334,1131
DB00342,1131
DB00363,1131
DB00387,1131
DB00424,1131
DB00434,1131
DB00458,1131
DB00462,1131
DB00496,1131
DB00517,1131
DB00572,1131
DB00622,1131
DB00715,1131
DB00747,1131
DB00809,1131
DB00934,1131
DB01036,1131
DB01062,1131
DB01085,1131
DB01224,1131
DB01238,1131
DB01239,1131
DB01337,1131
DB01409,1131
DB01591,1131
DB04843,1131
DB06702,1131
DB00170,2147
DB00278,2147
DB04786,2147
DB04898,2147
DB06695,2147
DB00145,2743
DB01108,3284
DB00126,5033
DB01275,5033
DB06155,1268
DB00177,185
DB00275,185
DB00796,185
DB00876,185
DB00966,185
DB01029,185
DB00297,5731
DB00770,5731
DB00905,5731
DB00917,5731
DB00795,38
DB00636,5465
DB01039,5465
DB01241,5465
DB01393,5465
DB00121,64087
DB00755,190
DB01234,190
DB00993,3251
DB01033,3251
DB00210,6257
DB00307,6257
DB00459,6257
DB00755,6257
DB00799,6257
DB01941,6257
DB00904,3360
DB01079,3360
DB00126,5351
DB00204,3757
DB00308,3757
DB00342,3757
DB00457,3757
DB00489,3757
DB00590,3757
DB00661,3757
DB00679,3757
DB00908,3757
DB01110,3757
DB01118,3757
DB01136,3757
DB01162,3757
DB01182,3757
DB01218,3757
DB00762,116447
DB01030,116447
DB00245,1128
DB00246,1128
DB00321,1128
DB00332,1128
DB00334,1128
DB00363,1128
DB00366,1128
DB00387,1128
DB00424,1128
DB00434,1128
DB00458,1128
DB00462,1128
DB00496,1128
DB00517,1128
DB00543,1128
DB00572,1128
DB00622,1128
DB00715,1128
DB00747,1128
DB00804,1128
DB00809,1128
DB00810,1128
DB00934,1128
DB01036,1128
DB01062,1128
DB01085,1128
DB01148,1128
DB01175,1128
DB01224,1128
DB01238,1128
DB01239,1128
DB01409,1128
DB01591,1128
