Unnamed: 0,drug_a_name,drug_b_name,cell,synergy,drug1_db,drug2_db
5-FU_ABT-888_A2058,5-FU,ABT-888,A2058,7.693530166,DB00544,DB07232
5-FU_ABT-888_A2780,5-FU,ABT-888,A2780,7.77805306,DB00544,DB07232
5-FU_ABT-888_A375,5-FU,ABT-888,A375,-1.198505438,DB00544,DB07232
5-FU_ABT-888_CAOV3,5-FU,ABT-888,CAOV3,-5.139971221,DB00544,DB07232
5-FU_ABT-888_DLD1,5-FU,ABT-888,DLD1,1.935127119,DB00544,DB07232
5-FU_ABT-888_ES2,5-FU,ABT-888,ES2,1.498650452,DB00544,DB07232
5-FU_ABT-888_HCT116,5-FU,ABT-888,HCT116,9.463280869,DB00544,DB07232
5-FU_ABT-888_HT144,5-FU,ABT-888,HT144,-3.701354746,DB00544,DB07232
5-FU_ABT-888_HT29,5-FU,ABT-888,HT29,10.17343391,DB00544,DB07232
5-FU_ABT-888_KPL1,5-FU,ABT-888,KPL1,2.157004428,DB00544,DB07232
5-FU_ABT-888_LOVO,5-FU,ABT-888,LOVO,-8.979213946,DB00544,DB07232
5-FU_ABT-888_MDAMB436,5-FU,ABT-888,MDAMB436,6.899259995,DB00544,DB07232
5-FU_ABT-888_NCIH1650,5-FU,ABT-888,NCIH1650,-5.996370296,DB00544,DB07232
5-FU_ABT-888_NCIH2122,5-FU,ABT-888,NCIH2122,7.890256814,DB00544,DB07232
5-FU_ABT-888_NCIH23,5-FU,ABT-888,NCIH23,-5.042652306,DB00544,DB07232
5-FU_ABT-888_NCIH460,5-FU,ABT-888,NCIH460,-6.611947917,DB00544,DB07232
5-FU_ABT-888_NCIH520,5-FU,ABT-888,NCIH520,3.698834848,DB00544,DB07232
5-FU_ABT-888_OV90,5-FU,ABT-888,OV90,-10.06884761,DB00544,DB07232
5-FU_ABT-888_RKO,5-FU,ABT-888,RKO,-2.677587786,DB00544,DB07232
5-FU_ABT-888_RPMI7951,5-FU,ABT-888,RPMI7951,-2.17322193,DB00544,DB07232
5-FU_ABT-888_SKMEL30,5-FU,ABT-888,SKMEL30,-36.45922958,DB00544,DB07232
5-FU_ABT-888_SKMES1,5-FU,ABT-888,SKMES1,-0.086424579,DB00544,DB07232
5-FU_ABT-888_SKOV3,5-FU,ABT-888,SKOV3,5.077177384,DB00544,DB07232
5-FU_ABT-888_SW620,5-FU,ABT-888,SW620,0.108107719,DB00544,DB07232
5-FU_ABT-888_SW837,5-FU,ABT-888,SW837,-14.52310863,DB00544,DB07232
5-FU_ABT-888_T47D,5-FU,ABT-888,T47D,17.48579545,DB00544,DB07232
5-FU_ABT-888_UACC62,5-FU,ABT-888,UACC62,-1.583963783,DB00544,DB07232
5-FU_ABT-888_VCAP,5-FU,ABT-888,VCAP,1.096102762,DB00544,DB07232
5-FU_ABT-888_ZR751,5-FU,ABT-888,ZR751,-8.675317044,DB00544,DB07232
5-FU_BORTEZOMIB_A2058,5-FU,BORTEZOMIB,A2058,-5.239878448,DB00544,DB00188
5-FU_BORTEZOMIB_A2780,5-FU,BORTEZOMIB,A2780,-18.59912622,DB00544,DB00188
5-FU_BORTEZOMIB_A375,5-FU,BORTEZOMIB,A375,-2.405334783,DB00544,DB00188
5-FU_BORTEZOMIB_CAOV3,5-FU,BORTEZOMIB,CAOV3,-35.27304184,DB00544,DB00188
5-FU_BORTEZOMIB_DLD1,5-FU,BORTEZOMIB,DLD1,5.228476756,DB00544,DB00188
5-FU_BORTEZOMIB_ES2,5-FU,BORTEZOMIB,ES2,-16.13012533,DB00544,DB00188
5-FU_BORTEZOMIB_HCT116,5-FU,BORTEZOMIB,HCT116,-4.51926945,DB00544,DB00188
5-FU_BORTEZOMIB_HT144,5-FU,BORTEZOMIB,HT144,-14.56978258,DB00544,DB00188
5-FU_BORTEZOMIB_HT29,5-FU,BORTEZOMIB,HT29,-15.95161347,DB00544,DB00188
5-FU_BORTEZOMIB_KPL1,5-FU,BORTEZOMIB,KPL1,-2.997532726,DB00544,DB00188
5-FU_BORTEZOMIB_LOVO,5-FU,BORTEZOMIB,LOVO,-6.175982009,DB00544,DB00188
5-FU_BORTEZOMIB_MDAMB436,5-FU,BORTEZOMIB,MDAMB436,-2.025565761,DB00544,DB00188
5-FU_BORTEZOMIB_NCIH1650,5-FU,BORTEZOMIB,NCIH1650,-15.77870569,DB00544,DB00188
5-FU_BORTEZOMIB_NCIH2122,5-FU,BORTEZOMIB,NCIH2122,-16.69626568,DB00544,DB00188
5-FU_BORTEZOMIB_NCIH23,5-FU,BORTEZOMIB,NCIH23,-9.190964586,DB00544,DB00188
5-FU_BORTEZOMIB_NCIH460,5-FU,BORTEZOMIB,NCIH460,-18.99813026,DB00544,DB00188
5-FU_BORTEZOMIB_NCIH520,5-FU,BORTEZOMIB,NCIH520,-24.06755091,DB00544,DB00188
5-FU_BORTEZOMIB_OV90,5-FU,BORTEZOMIB,OV90,-9.586166869,DB00544,DB00188
5-FU_BORTEZOMIB_RKO,5-FU,BORTEZOMIB,RKO,2.907200668,DB00544,DB00188
5-FU_BORTEZOMIB_RPMI7951,5-FU,BORTEZOMIB,RPMI7951,-10.47941439,DB00544,DB00188
